snack_name,good_for,avoid_for,reason,tags
Roasted chana,diabetes|hypertension|heart disease,,High protein and fiber with no added sugar when plain.,high protein|high fiber|low sugar
Plain makhana,diabetes|hypertension|heart disease,,Light snack that can be eaten roasted with very little oil or salt.,low sugar|light|low fat
Unsalted peanuts,diabetes|heart disease,kidney disease,Low sugar and filling but portion control is important.,low sugar|healthy fats|protein
Unsalted mixed nuts,diabetes|heart disease,kidney disease,Healthy fats and protein without added sugar or sodium.,low sugar|healthy fats|protein
Sprout chaat,diabetes|hypertension|heart disease,,Fresh sprouts provide fiber and protein with minimal processing.,fresh|high fiber|protein
Vegetable sticks with hummus,diabetes|hypertension|heart disease,,Crunchy low-sugar option with fiber and plant protein.,fresh|low sugar|fiber
Fruit bowl,hypertension|heart disease,diabetes,Fresh fruit is better than packaged sweets but portions matter for diabetes.,fresh|vitamins
Plain oats,diabetes|heart disease,,High fiber breakfast/snack base that is better than sugary packaged snacks.,whole grain|high fiber
Millet khakhra,diabetes|heart disease,hypertension,Whole-grain option; choose low-salt versions for blood pressure.,whole grain|fiber
Rice cakes with peanut butter,celiac disease|diabetes,kidney disease,Gluten-free base with filling protein when unsweetened.,gluten free|low sugar
Coconut yogurt,lactose intolerance,,Dairy-free option for users avoiding milk ingredients.,dairy free
Roasted pumpkin seeds,diabetes|heart disease,kidney disease,Low sugar snack with minerals and healthy fats; limit for kidney disease.,low sugar|seeds
Homemade poha,hypertension|heart disease,kidney disease,Can be made with controlled salt and fewer additives than packaged snacks.,homemade|light
Boiled egg,diabetes|hypertension,,Protein-rich snack with no added sugar.,high protein|low sugar
Air-popped popcorn,diabetes|heart disease,hypertension,Better than fried snacks when made with little salt and oil.,whole grain|light
