nutrient,unit,daily_limit,condition,condition_limit,condition_action,note
energy,kcal,2000,,,,"Total daily energy reference for average adult"
total_fat,g,65,heart disease,40,warn,"High fat intake linked to cardiovascular risk"
saturated_fat,g,20,heart disease,10,warn,"Saturated fat raises LDL cholesterol"
trans_fat,g,2,heart disease,0,warn,"Trans fat has no safe level for heart disease"
cholesterol,mg,300,heart disease,200,warn,"Dietary cholesterol affects cardiovascular risk"
sodium,mg,2300,hypertension,1500,warn,"Sodium raises blood pressure"
sodium,mg,2300,kidney disease,1500,warn,"Kidneys struggle to filter excess sodium"
total_carbohydrates,g,300,diabetes,150,warn,"High carb load raises blood glucose"
total_sugars,g,50,diabetes,25,warn,"Free sugars spike blood glucose rapidly"
added_sugars,g,25,diabetes,12,warn,"Added sugars are the primary diabetes concern"
added_sugars,g,25,obesity,12,warn,"Added sugars contribute to excess calorie intake"
dietary_fiber,g,25,,,,,"Fiber is beneficial for all conditions"
protein,g,50,,,,,"Protein is generally beneficial"
potassium,mg,3500,kidney disease,2000,warn,"Damaged kidneys cannot regulate potassium"
phosphorus,mg,700,kidney disease,800,warn,"Excess phosphorus harmful in kidney disease"
calcium,mg,1000,,,,,"Calcium is generally beneficial"
iron,mg,18,,,,,"Iron is generally beneficial"
vitamin_c,mg,90,,,,,"Vitamin C is generally beneficial"
vitamin_d,iu,600,,,,,"Vitamin D is generally beneficial"
