nutrient,unit,low_max,medium_max,high_min,direction,weight,aliases
energy,kcal,150,300,400,lower_better,0.05,"calories|kcal|cal|energy kcal"
total_fat,g,3,10,17.5,lower_better,0.10,"fat|total fat|fats"
saturated_fat,g,1.5,5,10,lower_better,0.12,"saturated fat|sat fat|saturated fatty acids"
trans_fat,g,0,0.5,1,lower_better,0.15,"trans fat|trans fatty acids|hydrogenated fat"
cholesterol,mg,20,60,100,lower_better,0.08,"cholesterol"
sodium,mg,120,400,600,lower_better,0.12,"sodium|salt content|na"
total_carbohydrates,g,10,30,60,neutral,0.05,"carbohydrates|total carbohydrates|carbs"
total_sugars,g,5,12.5,22.5,lower_better,0.10,"sugars|total sugars|sugar content"
added_sugars,g,2.5,7.5,15,lower_better,0.12,"added sugars|free sugars"
dietary_fiber,g,3,6,9,higher_better,0.10,"fiber|dietary fiber|fibre|dietary fibre"
protein,g,5,10,15,higher_better,0.10,"protein|proteins"
potassium,mg,200,400,600,neutral,0.03,"potassium"
phosphorus,mg,100,300,500,neutral,0.03,"phosphorus|phosphorous"
calcium,mg,100,300,500,higher_better,0.02,"calcium"
iron,mg,2,5,8,higher_better,0.02,"iron"
vitamin_c,mg,10,30,60,higher_better,0.01,"vitamin c|ascorbic acid"
vitamin_d,iu,50,200,400,higher_better,0.01,"vitamin d|cholecalciferol"
